Country/Other,Total Cases,New Cases,Total Deaths,New deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total cases/1M Pop,Deaths/1M POP,Total Tests,Tests/1M POP,Populations,Continents,%inc cases,%inc Deaths,%inc recovered
Tanzania,43223,-1.0,846,-1.0,0,0.0,0,0,683.0,13.0,-1,-1,63298550,Africa,-0.0023135830460634384,-0.1182033096926714,
Mauritius,43025,-1.0,1051,-1.0,41278,-1.0,696,-1,33752.0,824.0,358675,281374,1274727,Africa,-0.002324230098779779,-0.09514747859181732,-0.002422597994088861
Mayotte,42027,-1.0,188,-1.0,0,0.0,0,-1,146815.0,657.0,176919,618038,286259,Africa,-0.0023794227520403553,-0.5319148936170213,
Togo,39569,-1.0,290,-1.0,39277,-1.0,2,-1,4558.0,33.0,815088,93895,8680837,Africa,-0.002527230913088529,-0.3448275862068966,-0.0025460192988262854
Guinea,38572,-1.0,468,-1.0,37757,-1.0,347,0,2782.0,34.0,660107,47607,13865691,Africa,-0.0025925541843824537,-0.2136752136752137,-0.002648515507058294
Bahamas,38084,-1.0,844,-1.0,36366,-1.0,874,1,95087.0,2107.0,257839,643767,400516,North America,-0.0026257746035080348,-0.11848341232227488,-0.002749821261617995
Isle of Man,38008,-1.0,116,-1.0,0,0.0,0,-1,443335.0,1353.0,150753,1758422,85732,Europe,-0.002631025047358451,-0.8620689655172413,
Lesotho,36138,-1.0,723,-1.0,25980,-1.0,9435,-1,16610.0,332.0,431221,198199,2175699,Africa,-0.0027671702916597487,-0.13831258644536654,-0.003849114703618168
Haiti,34667,-1.0,860,-1.0,33734,-1.0,73,-1,2968.0,74.0,132422,11337,11680283,North America,-0.0028845876481956904,-0.11627906976744186,-0.002964368293116737
Faeroe Islands,34658,-1.0,28,-1.0,0,0.0,0,0,703959.0,569.0,778000,15802409,49233,Europe,-0.0028853367187950834,-3.571428571428571,
Mali,33164,-1.0,743,-1.0,32332,-1.0,89,-1,1544.0,35.0,804909,37483,21473764,Africa,-0.003015317814497648,-0.13458950201884254,-0.0030929110478782633
Cayman Islands,31472,-1.0,37,-1.0,8553,-1.0,22882,1,467797.0,550.0,222773,3311280,67277,North America,-0.003177427554651754,-2.7027027027027026,-0.011691804045364199
Benin,28036,-1.0,163,-1.0,27847,-1.0,26,-1,2193.0,13.0,604310,47268,12784726,Africa,-0.0035668426309031246,-0.6134969325153374,-0.0035910511006571623
Somalia,27334,-1.0,1361,-1.0,13182,-1.0,12791,-1,1623.0,81.0,400466,23778,16841795,Africa,-0.0036584473549425628,-0.07347538574577515,-0.007586102260658473
Micronesia,26547,-1.0,65,-1.0,0,0.0,0,0,225953.0,553.0,82430,701598,117489,Australia/Oceania,-0.0037669039816175085,-1.5384615384615385,
San Marino,26185,-1.0,128,-1.0,26011,-1.0,46,0,768226.0,3755.0,196855,5775414,34085,Europe,-0.003818980332251289,-0.78125,-0.0038445273153665757
Solomon Islands,25954,-1.0,199,-1.0,0,0.0,0,0,35989.0,276.0,-1,-1,721159,Australia/Oceania,-0.00385297064036372,-0.5025125628140703,
Congo,25375,-1.0,386,-1.0,24006,-1.0,983,-1,4377.0,67.0,347815,59991,5797805,Africa,-0.003940886699507389,-0.2590673575129534,-0.004165625260351578
Macao,23803,-1.0,123,-1.0,3487,-1.0,20193,-1,35660.0,184.0,7850,11760,667490,Asia,-0.004201151115405621,-0.8130081300813009,-0.028677946659019213
